ITEM NO.,UNITS,LS UNITS,DESCRIPTION
610-9999,LS,,REM EXISTING HANDRAIL
611-1065,LF,,RELAY STORM DRAIN PIPE
611-1080,EA,,RELAY SAFETY END SECTION
611-1350,LF,,RELAY WATER MAIN
611-2990,EA,,RECONSTR APPROACH SLAB
611-3000,EA,,"RECONSTR CATCH BASIN, GROUP 1"
611-3001,LF,,"RECONSTR CATCH BASIN, GROUP 1, ADDL DEPTH"
611-3002,EA,,"RECONSTR CATCH BASIN, GROUP 2"
611-3003,LF,,"RECONSTR CATCH BASIN, GROUP 2, ADDL DEPTH"
611-3004,EA,,RECONSTR CATCH BASIN TO SPILLWAY
611-3010,EA,,"RECONSTR DROP INLET, GROUP 1"
611-3012,EA,,"RECONSTR DROP INLET, GROUP 2"
611-3014,EA,,"RECONSTR DROP INLET, GROUP 1, SPCL DES, TP 1"
611-3020,EA,,"RECONSTR SAN SEW MANHOLE, TYPE 1"
611-3021,LF,,"RECONSTR SAN SEW MANHOLE, TYPE 1, ADDL DEPTH CL 1"
611-3022,LF,,"RECONSTR SAN SEW MANHOLE, TYPE 1, ADDL DEPTH CL 2"
611-3030,EA,,"RECONSTR STORM SEW MANHOLE, TYPE 1"
611-3031,LF,,"RECONSTR STORM SEW MANHOLE, TYPE 1, ADDL DEPTH CL 1"
611-3032,LF,,"RECONSTR STORM SEW MANHOLE, TYPE 1, ADDL DEPTH CL 2"
611-3035,EA,,"RECONSTR STORM SEW MANHOLE, TYPE 2"
611-3036,LF,,"RECONSTR STORM SEW MANHOLE, TYPE 2, ADDL DEPTH CL 1"
611-3100,EA,,RECONSTR JUNCTION BOX
611-3311,EA,,RECONSTR MISC ROADWAY STRUCTURES
611-4001,EA,,RECONSTR MINOR DRAINAGE STR
611-4003,EA,,RECONSTRUCT MISC DRAINAGE STRUCTURE
611-4890,LF,,RESET FENCE -
611-4990,EA,,RESET BUS SHELTER
611-4992,LF,,RESET PRECAST CONC BARRIER
611-4996,EA,,RESET GATE -
611-4997,EA,,RESET METAL GATE -
611-4999,EA,,RESET ALUM GATE -
611-5001,EA,,"RESET CH LK FENCE GATE, DBL 10 FT X 6 FT"
611-5002,LF,,RESET CH LK FENCE GATE -
611-5003,EA,,"RESET CHAIN LINK FENCE GATE, 6 FT"
611-5004,EA,,RESET CH LK FENCE GATE -
611-5010,LF,,"RESET CHAIN LINK FENCE, 4 FT"
611-5015,LF,,"RESET CHAIN LINK FENCE, 6 FT"
611-5020,LF,,"RESET CHAIN LINK FENCE, 6 FT W/ BARBED WIRE & EXT ARMS"
611-5029,LF,,"RESET CHAIN LINK FENCE, ALL SIZES & TYPES"
611-5100,EA,,RESET CONC MONUMENT
611-5120,EA,,RESET CONC R/W MARKER
611-5240,EA,,RESET FLAGPOLE
611-5245,EA,,RESET FLARED END SECTION
611-5280,LF,,RESET GRANITE CURB
611-5281,EA,,RESET GRANITE STEP
611-5300,LF,,RESET GUARDRAIL
611-5301,LF,,RESET GUARDRAIL DBL FACE
611-5310,EA,,RESET GUARDRAIL IMPACT ATTENUATOR
611-5320,EA,,"RESET GUARDRAIL ANCHORAGE, ALL TYPES"
611-5322,EA,,"RESET GUARDRAIL ANCHORAGE, TYPE"
611-5360,EA,,RESET HIGHWAY SIGN
611-5380,EA,,"RESET HISTORIC MARKER, CAST IRON"
611-5400,EA,,"RESET HISTORIC MARKER, CONCRETE"
611-5420,EA,,"RESET HISTORIC MARKER, STONE"
611-5460,EA,,RESET WATER HYDRANT
611-5480,EA,,RESET LIGHTING STANDARD
611-5485,EA,* * * Requires Special Provision * * *,RESET HIGHMAST LIGHT TOWER
611-5500,EA,,RESET LUMINAIRE
611-5511,LS,,RESET HANDRAIL
611-5540,EA,,RESET SERVICE POLE RISER
611-5550,LS,,"RESET SIGN, STA -"
611-5551,EA,* * * Requires Special Provision * * *,RESET SIGN
611-5572,EA,,RESET STEEL STRAIN POLE
611-5588,EA,* * * Requires Special Provision * * *,"RELOCATE WATER METER, 3/4 IN"
611-5589,EA,* * * Requires Special Provision * * *,"RELOCATE WATER METER, 1 IN"
611-5590,EA,* * * Requires Special Provision * * *,"RELOCATE WATER METER, 1 1/2 IN"
611-5591,EA,* * * Requires Special Provision * * *,"RELOCATE WATER METER, 2 IN"
611-5592,EA,* * * Requires Special Provision * * *,RELOCATE WATER METER
611-5659,EA,,RESET WOVEN WIRE FENCE GATE
611-5660,LF,,RESET WOVEN WIRE FENCE
611-5680,LF,,"RESET WOVEN WIRE FENCE, INCL POST"
611-6700,LF,,"RESET BARBED WIRE FENCE, INCL POSTS"
611-8000,EA,,ADJUST CATCH BASIN TO GRADE
611-8010,EA,,ADJUST HYDRANT TO GRADE
611-8020,EA,,ADJUST DRAIN INLET TO GRADE
611-8040,EA,,ADJUST DROP INLET TO GRADE
611-8045,EA,,ADJUST SEWER CLEANOUTS TO GRADE
611-8050,EA,,ADJUST MANHOLE TO GRADE
611-8055,EA,,ADJUST MINOR STRUCTURE TO GRADE
611-8057,LF,,ADJUST GUARDRAIL AND ANCHORAGE TO GRADE
611-8100,LF,,ADJUST GRANITE CURB TO GRADE
611-8120,EA,,ADJUST WATER METER BOX TO GRADE
611-8140,EA,,ADJUST WATER VALVE BOX TO GRADE
611-8201,LS,,"RESET STR SUPPORT, TYPE 1, STA -"
611-9000,EA,,CAPPING MINOR STRUCTURE
611-9100,EA,* * * Requires Special Provision * * *,RESET HURRICANE GATES
611-9250,LS,,"STAIRWELL MODIFICATIONS, STAIRWELL ENCLOSURES AND TUNNEL CEILING SLABS"
611-9460,EA,,RESET STREET POLE WITH BANNER
611-9995,EA,,"ADJUST WATER VALVE VAULT TO GRADE, STA -"
612-1000,EA,,"CONSTR, MAINT & REMOVE MEDIAN CROSSOVER, STA -"
615-1000,LF,,JACK OR BORE PIPE -
615-1100,LF,* * * Requires Special Provision * * *,DIRECTIONAL BORE PIPE -
615-2540,LF,* * * Requires Special Provision * * *,"JACK OR BORE PIPE, 18 IN"
615-2550,LF,* * * Requires Special Provision * * *,"JACK OR BORE PIPE, 24 IN"
615-2555,LF,* * * Requires Special Provision * * *,"JACK OR BORE PIPE, 36 IN STEEL CASE"
615-2560,LF,* * * Requires Special Provision * * *,"JACK OR BORE PIPE, 72 IN"
617-0510,LS,,"PERMANENTLY ANCHORED WALL, NO -"
617-1050,LS,* * * Requires Special Provision * * *,"PERMANENT ANCHORED TIE DOWN WALL, WALL NO. -"
617-1060,LS,* * * Requires Special Provision * * *,PERMANENTLY ANCHORED SLOPE STABILIZATION SYSTEM
619-0100,LS,* * * Requires Special Provision * * *,"PERMANENT ANCHORED SLURRY DIAPHRAGM WALL, WALL NO -"
620-0100,LF,* * * Requires Special Provision * * *,"TEMPORARY BARRIER, METHOD NO. 1"
620-0200,LF,* * * Requires Special Provision * * *,"TEMPORARY BARRIER, METHOD NO. 2"
621-3007,LF,,"CONCRETE BARRIER, TYPE 7M"
621-3020,LF,,"CONCRETE BARRIER, TYPE 20"
621-3021,LF,,"CONCRETE BARRIER, TYPE 21"
621-3022,LF,,"CONCRETE BARRIER, TYPE 22"
621-3120,LF,,"CONCRETE BARRIER, TYPE 22A"
621-3121,LF,,"CONCRETE BARRIER, TYPE 22B"
621-3125,LF,,"CONCRETE BARRIER, TP 25S, MODIFIED"
621-3126,LF,,"CONCRETE BARRIER, TYPE 26S"
621-3150,LF,* * * Requires Construction Detail * * *,"CONCRETE BARRIER, TYPE 26"
621-4020,LF,,"CONCRETE SIDE BARRIER, TYPE 2"
621-4021,LF,,"CONCRETE SIDE BARRIER, TYPE 2A"
621-4022,LF,,"CONCRETE SIDE BARRIER, TYPE 2B"
621-4023,LF,,"CONCRETE SIDE BARRIER, TYPE 2C"
621-4024,LF,,"CONCRETE SIDE BARRIER, TYPE 2D"
621-4025,LF,,"CONCRETE SIDE BARRIER, TYPE 2, MODIFIED"
621-4026,LF,,"CONCRETE SIDE BARRIER, TYPE 2E"
621-4060,LF,,"CONCRETE SIDE BARRIER, TYPE 6"
621-4061,LF,,"CONCRETE SIDE BARRIER, TYPE 6A"
621-4062,LF,,"CONCRETE SIDE BARRIER, TYPE 6B"
621-4063,LF,,"CONCRETE SIDE BARRIER, TYPE 6C"
621-4070,LF,,"CONCRETE SIDE BARRIER, TYPE 7C"
621-4071,LF,,"CONCRETE SIDE BARRIER, TYPE 7C, MODIFIED"
621-4080,LF,,"CONCRETE SIDE BARRIER, TYPE 7R"
621-4082,LF,,"CONCRETE SIDE BARRIER, TYPE 7T"
621-4083,LF,,"CONCRETE SIDE BARRIER, TYPE 7T, MODIFIED"
621-4085,LF,,"CONCRETE SIDE BARRIER, TYPE 7W"
621-4086,LF,,"CONCRETE SIDE BARRIER, TYPE 7WS"
621-5500,LF,,"CONCRETE SIDE BARRIER, TYPE 26"
621-5503,LF,,"CONCRETE SIDE BARRIER, TYPE 26S"
621-6001,LF,,"CONCRETE BARRIER, TP S-1"
621-6002,LF,,"CONCRETE BARRIER, TP S-2"
621-6003,LF,,"CONCRETE BARRIER, TP S-3"
621-6004,LF,,"CONCRETE BARRIER, TP S-3A"
621-6005,LF,,"CONCRETE BARRIER, TP S-3B"
621-6006,LF,,"CONCRETE BARRIER, TP S, MODIFIED"
621-6008,LF,,"CONCRETE SIDE BARRIER, TP 7-CS"
621-6010,LF,,"CONCRETE SIDE BARRIER, TP 7-S"
621-6012,LF,,"CONCRETE SIDE BARRIER, TP 7-RS"
621-6013,LF,,"CONCRETE SIDE BARRIER, TP 7-TS"
621-6050,LF,,"CONCRETE BARRIER, TP TS"
621-6200,LF,,"CONCRETE SIDE BARRIER, TP 2-S"
621-6201,LF,,"CONCRETE SIDE BARRIER, TP 2-SA"
621-6202,LF,,"CONCRETE SIDE BARRIER, TP 2-SB"
621-6203,LF,,"CONCRETE SIDE BARRIER, TP 2-SC"
621-6204,LF,,"CONCRETE SIDE BARRIER, TP 2-SD"
621-6205,LF,,"CONCRETE SIDE BARRIER, TP 2-SE"
621-6206,LF,,"CONCRETE SIDE BARRIER, TP 2D"
621-6210,LF,,"CONCRETE SIDE BARRIER, TP 6-S"
621-6211,LF,,"CONCRETE SIDE BARRIER, TP 6-SA"
621-6212,LF,,"CONCRETE SIDE BARRIER, TP 6-SB"
621-6213,LF,,"CONCRETE SIDE BARRIER, TP 6-SC"
621-6500,EA,* * * Requires Special Provision * * *,BARRIER GATE SYSTEM
623-1000,SY,,PNEUMATICALLY APPLIED CONCRETE
624-0450,SF,,"NOISE BARRIER, GROUND MOUNTED, TYPE -"
624-0470,SF,,"NOISE BARRIER, STRUCTURE MOUNTED, TYPE -"
625-0000,$,,SEC 625 VISUAL BARRIERS
625-0101,SF,* * * Requires Special Provision * * *,VISUAL BARRIER
626-0100,SF,,CONCRETE FACIA PANELS
626-0130,LF,,BACKFILL STABILIZING DEVICES
626-0320,CY,,MSE WALL BACKFILL MATERIAL
626-0401,LF,,CONCRETE LEVELING PAD
626-0501,LF,,"CAST-IN-PLACE COPING, A"
626-0502,LF,,"CAST-IN-PLACE COPING, B"
626-0601,LF,,"TRAFFIC BARRIER, V"
626-0602,LF,,"TRAFFIC BARRIER, H"
626-0701,LF,,PRECAST COPING
627-1000,SF,,"MSE WALL FACE, 0 - 10 FT HT, WALL NO -"
627-1010,SF,,"MSE WALL FACE, 10 - 20 FT HT, WALL NO -"
627-1020,SF,,"MSE WALL FACE, 20 - 30 FT HT, WALL NO -"
627-1030,SF,,"MSE WALL FACE, GTR THAN 30 FT HT, WALL NO -"
627-1100,LF,,"COPING A, WALL NO -"
627-1120,LF,,"COPING B, WALL NO -"
627-1140,LF,,"TRAFFIC BARRIER V, WALL NO -"
627-1160,LF,,"TRAFFIC BARRIER H, WALL NO -"
627-1180,CY,,ADDITIONAL MSE BACKFILL
628-0100,LS,* * * Requires Special Provision * * *,"PERMANENT SOIL-NAILED WALL, NO -"
629-0130,SF,* * * Requires Special Provision * * *,SEGMENTAL CONCRETE FACING UNITS -
629-0230,SY,* * * Requires Special Provision * * *,GEOGRID
629-0320,CY,* * * Requires Special Provision * * *,REINFORCED BACKFILL MATERIAL -
629-0401,LF,* * * Requires Special Provision * * *,CONCRETE LEVELING PAD -
629-0750,LF,* * * Requires Special Provision * * *,BACKFILL STABILIZING KEYSTRIP
630-0010,SF,* * * Requires Special Provision * * *,SEGMENTAL CONCRETE FACING UNITS -
630-0100,LF,* * * Requires Special Provision * * *,BACKFILL STABILIZING KEYSTRIP -
630-0200,CY,* * * Requires Special Provision * * *,MODULAR BLOCK RETAINING WALL BACKFILL MATERIAL
630-0300,LF,* * * Requires Special Provision * * *,MODULAR BLOCK RETAINING WALL CONCRETE LEVELING PAD
630-0400,LF,* * * Requires Special Provision * * *,"MODULAR BLOCK RETAINING WALL CAST-IN-PLACE COPING, A"
630-0500,LF,* * * Requires Special Provision * * *,"MODULAR BLOCK RETAINING WALL CAST-IN-PLACE COPING, B"
630-0600,LF,* * * Requires Special Provision * * *,MODULAR BLOCK RETAINING WALL PRECAST COPING
631-0001,EA,* * * Requires Special Provision * * *,"PERMANENT CHANGEABLE MESSAGE SIGN, PERMANENT 3 LINE MATRIX, TP 1"
631-0002,EA,* * * Requires Special Provision * * *,"PERMANENT CHANGEABLE MESSAGE SIGN, PERMANENT 3 LINE MATRIX, TP 2"
631-0005,EA,* * * Requires Special Provision * * *,"PERMANENT CHANGEABLE MESSAGE SIGN, PERMANENT 1 LINE MATRIX, TP -"
631-0007,EA,* * * Requires Special Provision * * *,"PERMANENT CHANGEABLE MESSAGE SIGN - TYPE A, COLOR, 20MM PITCH, 4X16 CHARACTERS, 12'"
631-0011,EA,* * * Requires Special Provision * * *,"PERMANENT CHANGEABLE MESSAGE SIGN, PERMANENT FULL MATRIX, TP 1"
631-0021,EA,* * * Requires Special Provision * * *,"PERMANENT CHANGEABLE MESSAGE SIGN, PERMANENT BLANK OUT, TP 1"
631-0022,EA,* * * Requires Special Provision * * *,"PERMANENT CHANGEABLE MESSAGE SIGN, PERMANENT BLANK OUT, TP 2"
631-0101,EA,* * * Requires Special Provision * * *,"DMS, TYPE 1"
631-0102,EA,* * * Requires Special Provision * * *,"DMS, TYPE 2"
631-0103,EA,* * * Requires Special Provision * * *,"DMS, TYPE 3"
631-0104,EA,* * * Requires Special Provision * * *,"DMS, TYPE 4"
631-0105,EA,* * * Requires Special Provision * * *,"DMS, TYPE 5"
631-0106,EA,* * * Requires Special Provision * * *,"DMS, TYPE 6"
631-0107,EA,* * * Requires Special Provision * * *,"DMS, TYPE 7"
631-2343,EA,* * * Requires Special Provision * * *,"LED PIXEL CMS, NON-WALK-IN, 3 X 15, 18 IN, TYPE B"
631-2463,EA,* * * Requires Special Provision * * *,"LED PIXEL CMS, WALK-IN, 3 X 21, 18 IN, TYPE B"
631-3010,EA,* * * Requires Special Provision * * *,"LED MODULE, FURNISH ONLY"
631-3015,EA,* * * Requires Special Provision * * *,"LED DRIVER CARD, FURNISH ONLY"
631-3020,EA,* * * Requires Special Provision * * *,"DC POWER SUPPLY, FURNISH ONLY"
631-3025,EA,* * * Requires Special Provision * * *,"FAN ASSEMBLY, FURNISH ONLY"
631-3030,EA,* * * Requires Special Provision * * *,"TEMPERATURE SENSOR, FURNISH ONLY"
631-3035,EA,* * * Requires Special Provision * * *,"LIGHT SENSOR, FURNISH ONLY"
631-3040,EA,* * * Requires Special Provision * * *,"DMS CONTROLLER, FURNISH ONLY"
631-5010,EA,* * * Requires Special Provision * * *,PIXEL UNIT
631-5020,EA,* * * Requires Special Provision * * *,LIGHT EMITTING MODULE
631-5030,EA,* * * Requires Special Provision * * *,LAMP
631-5040,EA,* * * Requires Special Provision * * *,DRIVER BOARD
631-5060,EA,* * * Requires Special Provision * * *,SIGN CONTROL LOGIC BOARD
631-5070,EA,* * * Requires Special Provision * * *,OPTO-ISOLATION CARD
631-5080,EA,* * * Requires Special Provision * * *,PHOTOSENSOR
631-5090,EA,* * * Requires Special Provision * * *,SIGN ELECTRONICS POWER SUPPLY
631-5100,EA,* * * Requires Special Provision * * *,FAN
631-5110,EA,* * * Requires Special Provision * * *,FILTER
631-5150,EA,* * * Requires Special Provision * * *,CMS CONTROLLER
631-5200,EA,* * * Requires Special Provision * * *,LAPTOP COMPUTER
631-8000,LS,* * * Requires Special Provision * * *,TESTING
631-8500,LS,* * * Requires Special Provision * * *,TRAINING
632-0003,EA,,"CHANGEABLE MESSAGE SIGN, PORTABLE, TYPE 3"
633-1000,SF,* * * Requires Special Provision * * *,"MODIFY HIGHWAY SIGN, SPCL ROADSIDE"
633-2000,SF,* * * Requires Special Provision * * *,"MODIFY HIGHWAY SIGN, OVERHEAD"
633-3010,EA,* * * Requires Special Provision * * *,"REMOUNT UNMODIFIED HIGHWAY SIGN, OVERHEAD ON BRIDGES"
633-3020,EA,* * * Requires Special Provision * * *,"REMOUNT UNMODIFIED HIGHWAY SIGN, OVERHEAD ON  SIGN STRUCTURES"
633-5000,EA,* * * Requires Special Provision * * *,"REMOUNT UNMODIFIED HIGHWAY SIGN, SPECIAL ROADSIDE"
633-9000,EA,* * * Requires Special Provision * * *,"MODIFY HIGHWAY SIGN, OVERHEAD"
634-1100,EA,,MONUMENTS
634-1150,EA,* * * Requires Special Provision * * *,GRANITE SCULPTURAL ELEMENT
634-1200,EA,,RIGHT OF WAY MARKERS
634-1210,EA,,"RIGHT OF WAY, PROPERTY LINE IRON PIN"
634-1700,EA,,COUNTY LINE MARKERS
634-1800,EA,,NAME PLAQUES - SPCL DES
635-1000,LF,,BARRICADES
635-2000,EA,* * * Requires Construction Detail * * *,DROP GATE BARRICADE
636-0500,LF,* * * Requires Special Provision * * *,WOOD SIGN POSTS
636-1014,SF,,"HIGHWAY SIGNS, TP 1 MATL, REFL SHEETING, TP 1"
636-1020,SF,,"HIGHWAY SIGNS, TP 1 MATL, REFL SHEETING, TP 3"
636-1022,SF,,"HIGHWAY SIGNS, TP 1 MATL, REFL SHEETING, TP 4"
636-1025,SF,,"HIGHWAY SIGNS, TP 1 MATL, REFL SHEETING, TP 2"
636-1029,SF,,"HIGHWAY SIGNS, TP 2 MATL, REFL SHEETING, TP 3"
636-1030,SF,,"HIGHWAY SIGNS, TP 2 MATL, REFL SHEETING, TP 4"
636-1033,SF,* * * Requires Special Provision * * *,"HIGHWAY SIGNS, TP 1 MATL, REFL SHEETING, TP 9"
636-1036,SF,,"HIGHWAY SIGNS, TP 1 MATL, REFL SHEETING, TP 11"
636-1041,SF,* * * Requires Special Provision * * *,"HIGHWAY SIGNS, TP 2 MATL, REFL SHEETING, TP 9"
636-1045,SF,* * * Requires Special Provision * * *,"HIGHWAY SIGNS, TP 2 MATL, REFL SHEETING, TP 11"
636-1070,SF,,"HIGHWAY SIGNS, ALUM EXTRUDED PANELS, REFL SHEETING, TP 2"
636-1071,SF,,"HIGHWAY SIGNS, ALUM EXTRUDED PANELS, REFL SHEETING, TP 2 OR 3"
636-1072,SF,,"HIGHWAY SIGNS, ALUM EXTRUDED PANELS, REFL SHEETING, TP 3"
636-1077,SF,,"HIGHWAY SIGNS, ALUM EXTRUDED PANELS, REFL SHEETING, TP 9"
636-1080,SF,* * * Requires Special Provision * * *,"HIGHWAY SIGNS, ALUM EXTRUDED PANELS, REFL SHEETING, TP 11"
636-1081,SF,* * * Requires Special Provision * * *,"HIGHWAY SIGNS, ALUM EXTRUDED PANELS, REFL SHEETING, TP 11 INCLUDING BRACKETS"
636-2010,LF,,"GALV STEEL POSTS, TP 1"
636-2020,LF,,"GALV STEEL POSTS, TP 2"
636-2030,LF,,"GALV STEEL POSTS, TP 3"
636-2040,LF,,"GALV STEEL POSTS, TP 4"
636-2070,LF,,"GALV STEEL POSTS, TP 7"
636-2080,LF,,"GALV STEEL POSTS, TP 8"
636-2090,LF,,"GALV STEEL POSTS, TP 9"
636-2100,LF,* * * Requires Special Provision * * *,"WOOD SIGN POSTS, 4 IN X 4 IN"
636-3000,LB,,GALV STEEL STR SHAPE POST
636-3010,EA,* * * Requires Construction Detail * * *,GROUND-MOUNTED BREAKAWAY SIGN SUPPORT
636-4101,EA,,"PLASTIC FLEXIBLE DELINEATOR, TP 1A"
636-4104,EA,,"PLASTIC FLEXIBLE DELINEATOR, TP 2B"
636-4120,LF,,CONTINUOUS CURB W/ FLEXIBLE DELINEATOR
636-5010,EA,,"DELINEATOR, TP 1"
636-5011,EA,,"DELINEATOR, TP 1A"
636-5020,EA,,"DELINEATOR, TP 2"
636-5021,EA,,"DELINEATOR, TP 2A"
636-5030,EA,,"DELINEATOR, TP 3"
636-5031,EA,,"DELINEATOR, TP 3A"
636-5100,EA,* * * Requires Construction Detail * * *,MILEPOST SIGNS
636-6000,EA,* * * Requires Construction Detail * * *,PATH FOUNDATION SIGNAGE
636-6025,EA,* * * Requires Construction Detail * * *,PATH TRAIL SIGN STRUCTURE
636-9094,LF,,"PILING IN PLACE, SIGNS, STEEL H, HP 12 X 53"
638-1001,LS,,"STR SUPPORT FOR OVERHEAD SIGN, TP I , STA -"
638-1003,LS,,"STR SUPPORT FOR OVERHEAD SIGN, TP III, STA -"
638-1004,LS,,"STR SUPPORT FOR OVERHEAD SIGN, TP IV , STA -"
638-1005,LS,,"STR SUPPORT FOR OVERHEAD SIGN, TP V , STA -"
638-1006,LS,,"STR SUPPORT FOR OVERHEAD SIGN, TP VI , STA -"
638-1007,LS,,"STR SUPPORT FOR OVERHEAD SIGN, TP VII, STA -"
638-1008,LS,,"STR SUPPORT FOR OVERHEAD SIGN, TP VIII, STA -"
638-1009,L S,,"MONUMENT SIGN, STA -"
638-1011,LS,* * * Requires Special Provision * * *,"STR SUPPORT FOR OVERHEAD SIGN, TP I, MP -"
638-1012,LS,* * * Requires Special Provision * * *,"STR SUPPORT FOR OVERHEAD SIGN, TP II, MP -"
638-1013,LS,* * * Requires Special Provision * * *,"STR SUPPORT FOR OVERHEAD SIGN, TP III, MP -"
638-1015,LS,* * * Requires Special Provision * * *,"STR SUPPORT FOR OVERHEAD SIGN, TP V, MP -"
638-1017,LS,* * * Requires Special Provision * * *,"STR SUPPORT FOR OVERHEAD SIGN, TP VII, MP -"
638-1018,LS,* * * Requires Special Provision * * *,"STR SUPPORT FOR OVERHEAD SIGN, TP VIII, MP -"
639-1175,EA,,"TREATED TIMBER POLE, CLASS 1, 75 FT"
639-1230,EA,,"TREATED TIMBER POLE, CL 2, 30 FT"
639-1235,EA,,"TREATED TIMBER POLE, CL 2, 35 FT"
639-1240,EA,,"TREATED TIMBER POLE, CL 2, 40 FT"
639-1245,EA,,"TREATED TIMBER POLE, CL 2, 45 FT"
639-1335,EA,,"TREATED TIMBER POLE, CL 3, 35 FT"
639-1350,EA,,"TREATED TIMBER POLE, CL 3, 50 FT"
639-1535,EA,,"TREATED TIMBER POLE, CL 5, 35 FT"
639-1540,EA,,"TREATED TIMBER POLE, 25 FT"
639-1600,EA,* * * Requires Special Provision * * *,GUY AND ANCHOR ASSEMBLY
639-2001,LF,,"STEEL WIRE STRAND CABLE, 1/4 IN"
639-2002,LF,,"STEEL WIRE STRAND CABLE, 3/8 IN"
639-3001,EA,,"STEEL STRAIN POLE, TP I"
639-3002,EA,,"STEEL STRAIN POLE, TP II"
639-3003,EA,,"STEEL STRAIN POLE, TP III"
639-3004,EA,,"STEEL STRAIN POLE, TP IV"
639-3014,EA,,"STEEL STRAIN POLE, TP IV, INCL LUMINAIRE ARM"
639-4001,EA,,"STRAIN POLE, TP I"
639-4002,EA,,"STRAIN POLE, TP II"
639-4003,EA,,"STRAIN POLE, TP III"
639-4004,EA,,"STRAIN POLE, TP IV"
639-4014,EA,,"STRAIN POLE, TP IV, INCL LUMINAIRE ARM"
639-5000,EA,,"PRESTRESSED CONC STRAIN POLE, TP -"
639-6000,EA,,MAST ARM INSTALLATION
640 1025,EA,,"REFL RR CROSS BUCK SIGNS, STEEL POST"
640-1025,EA,,"REFL RR CROSS BUCK SIGNS, STEEL POST"
640-1050,EA,,"REFL RR CROSS BUCK SIGNS, WOOD POST"
641-1100,LF,,"GUARDRAIL, TP T"
641-1105,LF,,"CORROSION RESISTANT WEATHERED GUARDRAIL, TP T"
641-1110,LF,,"GUARDRAIL, TP T, MOD OFFSET BLOCKS"
641-1200,LF,,"GUARDRAIL, TP W"
641-1205,LF,,"CORROSION RESISTANT WEATHERED GUARDRAIL, TP W"
641-2100,LF,,"DBL FACED GUARDRAIL, TP T"
641-2200,LF,,"DBL FACED GUARDRAIL, TP W"
641-4020,LF,,"DBL FACED GUARDRAIL, FOR BR, TYPE W"
641-5000,EA,,"GUARDRAIL ANCHORAGE, SPCL DES"
641-5001,EA,,"GUARDRAIL ANCHORAGE, TP 1"
641-5005,EA,,"GUARDRAIL ANCHORAGE, TP 5"
641-5006,EA,,"GUARDRAIL ANCHORAGE, TP 6"
641-5008,EA,,"GUARDRAIL ANCHORAGE, TP 8"
641-5009,EA,,"GUARDRAIL ANCHORAGE, TP 9"
641-5011,EA,,"GUARDRAIL ANCHORAGE, TP 11"
641-5012,EA,,"GUARDRAIL ANCHORAGE, TP 12"
641-5015,EA,,"GUARDRAIL TERMINAL, TP 12A, 31 IN, TANGENT, ENERGY-ABSORBING"
641-5020,EA,,"GUARDRAIL TERMINAL, TP 12B, 31 IN, FLARED, ENERGY-ABSORBING"
641-5025,EA,,"GUARDRAIL TERMINAL, TP 12C, 31 IN, FLARED, NON-ENERGY-ABSORBING"
641-5194,EA,,"GUARDRAIL ANCHORAGE, TP 9D"
641-6000,EA,,"GUARDRAIL ANCHORAGE TP 10D, SPCL DES"
641-6005,EA,,"GUARDRAIL  TERMINAL, TP 10D, 31 IN"
641-6010,EA,,"GUARDRAIL ANCHORAGE TP 10S, SPCL DES"
641-7500,LF,* * * Requires Special Provision * * *,"NATINA STEEL STAINED GUARDRAIL, TP -"
641-7505,LF,* * * Requires Special Provision * * *,"NATINA STEEL STAINED DOUBLE FACED GUARDRAIL, TP -"
641-7510,LF,* * * Requires Special Provision * * *,"NATINA STEEL STAINED GUARDRAIL FOR BRIDGES, TP -"
641-7515,LF,* * * Requires Special Provision * * *,"NATINA STEEL STAINED DOUBLE FACED GUARDRAIL FOR BRIDGES, TP -"
641-7520,EA,* * * Requires Special Provision * * *,"NATINA STEEL STAINED GUARDRAIL ANCHORAGE, TP -"
641-7525,EA,* * * Requires Special Provision * * *,NATINA STEEL STAINED GUARDRAIL POSTS (ALL LENGTHS)
641-9912,EA,,"TEMPORARY GUARDRAIL ANCHORAGE, TP 12"
642-0100,LF,* * * Requires Special Provision * * *,CABLE BARRIER
642-0300,EA,* * * Requires Special Provision * * *,CABLE TERMINAL (NCHRP 350 TL-3 COMPLIANT)
642-0400,EA,* * * Requires Special Provision * * *,CABLE TERMINAL (NCHRP 350 TL-4 COMPLIANT)
643-0010,LF,,FIELD FENCE WOVEN WIRE
643-0050,LF,,TEMPORARY FIELD FENCE
643-0103,LF,,"FIELD FENCE BARBED WIRE, 3 STRANDS"
643-0104,LF,,"FIELD FENCE BARBED WIRE, 4 STRANDS"
643-0105,LF,,"FIELD FENCE BARBED WIRE, 5 STRANDS"
643-0155,LF,,FIELD FENCE SPCL DESIGN
643-0204,LF,,"FIELD FENCE SMOOTH WIRE, 4 STRANDS"
643-1100,SF,* * * Requires Special Provision * * *,FENCE SLATS
643-1132,LF,,"CH LK FENCE, ZC COAT, 4 FT, 9 GA"
643-1133,LF,,"CH LK FENCE, ZC COAT, 4 FT, 11 GA"
643-1137,LF,,"CH LK FENCE, ZC COAT, 5 FT, 9 GA"
643-1138,LF,,"CH LK FENCE, ZC COAT, 5 FT, 11 GA"
643-1151,LF,,"CH LK FENCE, ZC COAT, 6 FT, 6 GA"
643-1152,LF,,"CH LK FENCE, ZC COAT, 6 FT, 9 GA"
